mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes
multi_agent,21062308_21062309,287.41,4.79,99.51,1.66,161.08,2.68
multi_agent,21062308_21062311,661.8,11.03,323.22,5.39,293.44,4.89
multi_agent,21062308_21062314,1249.6,20.83,702.48,11.71,482.1,8.04
multi_agent,21062308_21062320,3036.47,50.61,1826.04,30.43,1092.25,18.2
multi_agent,21062320_21062321,248.27,4.14,148.87,2.48,86.23,1.44
multi_agent,21062320_21062323,708.87,11.81,430.85,7.18,246.34,4.11
multi_agent,21062320_21062402,1229.55,20.49,771.75,12.86,411.91,6.87
multi_agent,21062320_21062408,2119.62,35.33,1345.55,22.43,710.94,11.85
multi_agent,21062508_21062509,301.2,5.02,100.94,1.68,170.49,2.84
multi_agent,21062508_21062511,660.25,11.0,335.04,5.58,281.53,4.69
multi_agent,21062508_21062514,1261.32,21.02,740.99,12.35,458.34,7.64
multi_agent,21062508_21062520,3141.59,52.36,1995.18,33.25,1057.54,17.63
multi_agent,21062520_21062521,293.5,4.89,160.15,2.67,114.98,1.92
multi_agent,21062520_21062523,854.17,14.24,484.62,8.08,324.71,5.41
multi_agent,21062520_21062602,1804.47,30.07,1059.9,17.67,667.8,11.13
multi_agent,21062520_21062608,2980.53,49.68,1906.21,31.77,985.14,16.42
multi_agent,21062708_21062709,228.64,3.81,106.48,1.77,104.67,1.74
multi_agent,21062708_21062711,676.49,11.27,391.06,6.52,245.07,4.08
multi_agent,21062708_21062714,1457.99,24.3,969.42,16.16,428.12,7.14
multi_agent,21062708_21062720,3456.15,57.6,2340.59,39.01,1008.55,16.81
multi_agent,21062720_21062721,184.49,3.07,122.58,2.04,53.57,0.89
multi_agent,21062720_21062723,519.1,8.65,347.66,5.79,151.1,2.52
multi_agent,21062720_21062802,927.82,15.46,634.57,10.58,265.26,4.42
multi_agent,21062720_21062808,2672.76,44.55,2090.32,34.84,539.6,8.99
multi_agent,21100608_21100609,482.24,8.04,202.53,3.38,238.05,3.97
multi_agent,21100608_21100611,1140.0,19.0,684.79,11.41,391.54,6.53
multi_agent,21100608_21100614,2187.82,36.46,1549.34,25.82,555.82,9.26
multi_agent,21100608_21100620,4865.62,81.09,3613.73,60.23,1122.43,18.71
multi_agent,21100620_21100621,303.44,5.06,191.91,3.2,96.61,1.61
multi_agent,21100620_21100623,819.23,13.65,552.22,9.2,234.13,3.9
multi_agent,21100620_21100702,1531.54,25.53,1068.77,17.81,414.16,6.9
multi_agent,21100620_21100708,3473.99,57.9,2689.12,44.82,719.46,11.99
multi_agent,21100808_21100809,440.03,7.33,198.98,3.32,205.58,3.43
multi_agent,21100808_21100811,1097.48,18.29,706.21,11.77,335.64,5.59
multi_agent,21100808_21100814,2508.85,41.81,1950.77,32.51,506.69,8.44
multi_agent,21100808_21100820,5866.89,97.78,4556.24,75.94,1175.16,19.59
multi_agent,21100820_21100821,412.34,6.87,234.06,3.9,152.95,2.55
multi_agent,21100820_21100823,1185.77,19.76,786.3,13.1,350.43,5.84
multi_agent,21100820_21100902,2364.16,39.4,1576.7,26.28,702.94,11.72
multi_agent,21100820_21100908,4420.83,73.68,3295.78,54.93,1029.62,17.16
multi_agent,21101008_21101009,239.55,3.99,107.19,1.79,114.07,1.9
multi_agent,21101008_21101011,718.33,11.97,400.13,6.67,276.3,4.61
multi_agent,21101008_21101014,1412.44,23.54,926.92,15.45,426.41,7.11
multi_agent,21101008_21101020,3603.56,60.06,2502.13,41.7,993.53,16.56
multi_agent,21101020_21101021,195.52,3.26,136.85,2.28,50.86,0.85
multi_agent,21101020_21101023,557.29,9.29,387.13,6.45,149.8,2.5
multi_agent,21101020_21101102,934.19,15.57,652.43,10.87,254.19,4.24
multi_agent,21101020_21101108,2837.94,47.3,2263.43,37.72,531.24,8.85
multi_agent,21111008_21111009,412.73,6.88,193.99,3.23,217.66,3.63
multi_agent,21111008_21111011,1432.47,23.87,890.08,14.83,539.13,8.99
multi_agent,21111008_21111014,3008.98,50.15,2191.41,36.52,813.85,13.56
multi_agent,21111008_21111020,5799.62,96.66,4306.54,71.78,1352.9,22.55
multi_agent,21111020_21111021,360.09,6.0,245.81,4.1,99.57,1.66
multi_agent,21111020_21111023,1021.07,17.02,715.12,11.92,269.91,4.5
multi_agent,21111020_21111102,2075.95,34.6,1549.37,25.82,474.52,7.91
multi_agent,21111020_21111108,3131.3,52.19,1948.58,32.48,817.15,13.62
multi_agent,21111208_21111209,570.58,9.51,298.69,4.98,233.02,3.88
multi_agent,21111208_21111211,1277.2,21.29,826.75,13.78,390.84,6.51
multi_agent,21111208_21111214,2338.41,38.97,1675.19,27.92,585.35,9.76
multi_agent,21111208_21111220,6130.52,102.18,4573.04,76.22,1413.5,23.56
multi_agent,21111220_21111221,380.52,6.34,223.07,3.72,135.42,2.26
multi_agent,21111220_21111223,1155.12,19.25,734.09,12.23,369.11,6.15
multi_agent,21111220_21111302,2327.23,38.79,1546.59,25.78,697.42,11.62
multi_agent,21111220_21111308,5045.31,84.09,3918.51,65.31,1028.33,17.14
multi_agent,21111408_21111409,217.55,3.63,100.58,1.68,99.84,1.66
multi_agent,21111408_21111411,677.37,11.29,390.37,6.51,257.54,4.29
multi_agent,21111408_21111414,1432.32,23.87,960.97,16.02,426.84,7.11
multi_agent,21111408_21111420,3523.64,58.73,2456.85,40.95,961.49,16.02
multi_agent,21111420_21111421,202.61,3.38,137.65,2.29,55.98,0.93
multi_agent,21111420_21111423,561.33,9.36,398.78,6.65,147.59,2.46
multi_agent,21111420_21111502,982.97,16.38,700.12,11.67,255.12,4.25
multi_agent,21111420_21111508,2949.49,49.16,2378.16,39.64,529.17,8.82
social_groups,21062308_21062309,314.83,5.25,96.94,1.62,191.83,3.2
social_groups,21062308_21062311,710.72,11.85,306.22,5.1,355.75,5.93
social_groups,21062308_21062314,1235.96,20.6,689.15,11.49,488.62,8.14
social_groups,21062308_21062320,2907.4,48.46,1721.97,28.7,1078.4,17.97
social_groups,21062320_21062321,344.16,5.74,131.64,2.19,187.9,3.13
social_groups,21062320_21062323,773.82,12.9,382.01,6.37,349.0,5.82
social_groups,21062320_21062402,1294.66,21.58,686.21,11.44,546.91,9.12
social_groups,21062320_21062408,2225.4,37.09,1249.81,20.83,888.07,14.8
social_groups,21062508_21062509,306.51,5.11,94.94,1.58,184.81,3.08
social_groups,21062508_21062511,678.54,11.31,312.26,5.2,321.55,5.36
social_groups,21062508_21062514,1291.24,21.52,706.52,11.78,521.51,8.69
social_groups,21062508_21062520,3155.3,52.59,1887.93,31.47,1148.55,19.14
social_groups,21062520_21062521,458.49,7.64,149.09,2.48,273.32,4.56
social_groups,21062520_21062523,979.73,16.33,453.45,7.56,467.96,7.8
social_groups,21062520_21062602,1933.32,32.22,1011.82,16.86,829.44,13.82
social_groups,21062520_21062608,3106.38,51.77,1880.95,31.35,1121.16,18.69
social_groups,21062708_21062709,199.03,3.32,105.62,1.76,81.85,1.36
social_groups,21062708_21062711,684.66,11.41,383.72,6.4,266.1,4.44
social_groups,21062708_21062714,1436.92,23.95,941.33,15.69,441.67,7.36
social_groups,21062708_21062720,3287.95,54.8,2234.0,37.23,960.17,16.0
social_groups,21062720_21062721,250.69,4.18,117.6,1.96,117.17,1.95
social_groups,21062720_21062723,577.52,9.63,322.53,5.38,225.79,3.76
social_groups,21062720_21062802,946.45,15.77,593.94,9.9,318.14,5.3
social_groups,21062720_21062808,2714.02,45.23,2038.93,33.98,618.59,10.31
social_groups,21100608_21100609,400.48,6.67,194.12,3.24,204.95,3.42
social_groups,21100608_21100611,1044.97,17.42,646.03,10.77,396.3,6.6
social_groups,21100608_21100614,2149.81,35.83,1561.57,26.03,582.98,9.72
social_groups,21100608_21100620,5203.66,86.73,3930.61,65.51,1263.55,21.06
social_groups,21100620_21100621,453.69,7.56,237.11,3.95,214.08,3.57
social_groups,21100620_21100623,1085.19,18.09,621.37,10.36,459.34,7.66
social_groups,21100620_21100702,1736.76,28.95,1070.73,17.85,601.31,10.02
social_groups,21100620_21100708,3633.16,60.55,2644.7,44.08,897.8,14.96
social_groups,21100808_21100809,395.88,6.6,193.56,3.23,200.91,3.35
social_groups,21100808_21100811,1112.52,18.54,687.36,11.46,422.32,7.04
social_groups,21100808_21100814,2440.83,40.68,1825.05,30.42,610.36,10.17
social_groups,21100808_21100820,6494.65,108.24,5109.97,85.17,1375.3,22.92
social_groups,21100820_21100821,528.12,8.8,216.19,3.6,275.25,4.59
social_groups,21100820_21100823,1308.1,21.8,731.82,12.2,509.34,8.49
social_groups,21100820_21100902,2402.02,40.03,1439.83,24.0,860.86,14.35
social_groups,21100820_21100908,4381.76,73.03,3080.12,51.34,1183.54,19.73
social_groups,21101008_21101009,267.78,4.46,144.93,2.42,110.52,1.84
social_groups,21101008_21101011,683.83,11.4,370.18,6.17,276.68,4.61
social_groups,21101008_21101014,1407.74,23.46,886.48,14.77,463.15,7.72
social_groups,21101008_21101020,3471.55,57.86,2388.31,39.81,981.59,16.36
social_groups,21101020_21101021,277.1,4.62,132.67,2.21,126.53,2.11
social_groups,21101020_21101023,622.62,10.38,377.62,6.29,218.37,3.64
social_groups,21101020_21101102,1003.38,16.72,633.75,10.56,332.69,5.54
social_groups,21101020_21101108,2939.47,48.99,2241.91,37.37,639.27,10.65
social_groups,21111008_21111009,416.18,6.94,181.88,3.03,206.09,3.43
social_groups,21111008_21111011,1002.44,16.71,633.73,10.56,365.58,6.09
social_groups,21111008_21111014,1990.44,33.17,1436.19,23.94,548.88,9.15
social_groups,21111008_21111020,5001.13,83.35,3765.61,62.76,1226.51,20.44
social_groups,21111020_21111021,378.83,6.31,178.79,2.98,198.58,3.31
social_groups,21111020_21111023,1139.03,18.98,682.06,11.37,452.38,7.54
social_groups,21111020_21111102,1799.02,29.98,1112.55,18.54,615.23,10.25
social_groups,21111020_21111108,2461.54,41.03,1476.22,24.6,897.84,14.96
social_groups,21111208_21111209,388.34,6.47,190.26,3.17,196.67,3.28
social_groups,21111208_21111211,1052.25,17.54,658.83,10.98,390.55,6.51
social_groups,21111208_21111214,2084.21,34.74,1511.7,25.2,567.21,9.45
social_groups,21111208_21111220,5240.82,87.35,3900.73,65.01,1330.73,22.18
social_groups,21111220_21111221,527.18,8.79,241.78,4.03,283.15,4.72
social_groups,21111220_21111223,1408.66,23.48,811.56,13.53,592.02,9.87
social_groups,21111220_21111302,2675.64,44.59,1616.62,26.94,960.64,16.01
social_groups,21111220_21111308,5363.03,89.38,3856.62,64.28,1365.44,22.76
social_groups,21111408_21111409,263.39,4.39,142.93,2.38,108.43,1.81
social_groups,21111408_21111411,650.58,10.84,373.54,6.23,274.66,4.58
social_groups,21111408_21111414,1477.25,24.62,969.41,16.16,502.64,8.38
social_groups,21111408_21111420,3673.08,61.22,2613.89,43.56,1050.35,17.51
social_groups,21111420_21111421,249.41,4.16,133.31,2.22,114.8,1.91
social_groups,21111420_21111423,761.8,12.7,481.58,8.03,275.98,4.6
social_groups,21111420_21111502,1090.79,18.18,706.85,11.78,345.95,5.77
social_groups,21111420_21111508,3282.15,54.7,2518.07,41.97,699.74,11.66
sumo,21062308_21062309,1605.28,26.75,1603.97,26.73,0.0,0.0
sumo,21062320_21062321,12676.74,211.28,12673.35,211.22,0.0,0.0
sumo,21062508_21062509,1809.7,30.16,1806.62,30.11,0.0,0.0
sumo,21062520_21062521,15524.62,258.74,15520.98,258.68,0.0,0.0
sumo,21062708_21062709,285.44,4.76,282.59,4.71,0.0,0.0
sumo,21062720_21062721,5005.18,83.42,5002.03,83.37,0.0,0.0
sumo,21062720_21062808,97550.63,1625.84,97532.19,1625.54,0.0,0.0
sumo,21100608_21100609,1783.38,29.72,1780.0,29.67,0.0,0.0
sumo,21100620_21100621,12163.33,202.72,12160.01,202.67,0.0,0.0
sumo,21100808_21100809,1894.45,31.57,1891.29,31.52,0.0,0.0
sumo,21100820_21100821,11327.74,188.8,11324.07,188.73,0.0,0.0
sumo,21101008_21101009,291.44,4.86,288.62,4.81,0.0,0.0
sumo,21101020_21101021,4548.48,75.81,4545.39,75.76,0.0,0.0
sumo,21111008_21111009,1717.65,28.63,1715.22,28.59,0.0,0.0
sumo,21111008_21111011,39115.6,651.93,39110.42,651.84,0.0,0.0
sumo,21111008_21111014,256892.38,4281.54,256883.59,4281.39,0.0,0.0
sumo,21111020_21111021,11531.98,192.2,11528.44,192.14,0.0,0.0
sumo,21111020_21111023,110038.06,1833.97,110030.56,1833.84,0.0,0.0
sumo,21111208_21111209,1861.55,31.03,1858.44,30.97,0.0,0.0
sumo,21111208_21111211,39751.28,662.52,39744.51,662.41,0.0,0.0
sumo,21111220_21111221,9198.25,153.3,9194.59,153.24,0.0,0.0
sumo,21111220_21111223,163740.26,2729.0,163732.25,2728.87,0.0,0.0
sumo,21111408_21111409,277.91,4.63,275.11,4.59,0.0,0.0
sumo,21111408_21111411,11466.17,191.1,11460.03,191.0,0.0,0.0
sumo,21111420_21111421,4953.57,82.56,4950.18,82.5,0.0,0.0
